Rank,Category,Similarity Score,Matched Skills,Missing Skills
1,HEALTHCARE,15.18,[],"['data science', 'spark', 'machine learning']"
2,ENGINEERING,14.33,['machine learning'],"['data science', 'spark']"
3,SALES,12.78,['machine learning'],"['data science', 'spark']"
4,HR,12.39,[],"['data science', 'spark', 'machine learning']"
5,HR,10.46,[],"['data science', 'spark', 'machine learning']"
6,ARTS,10.33,[],"['data science', 'spark', 'machine learning']"
7,DESIGNER,10.27,[],"['data science', 'spark', 'machine learning']"
8,HR,10.07,[],"['data science', 'spark', 'machine learning']"
9,CONSTRUCTION,10.06,[],"['data science', 'spark', 'machine learning']"
10,SALES,9.5,[],"['data science', 'spark', 'machine learning']"
11,ACCOUNTANT,9.44,[],"['data science', 'spark', 'machine learning']"
12,DIGITAL-MEDIA,9.24,[],"['data science', 'spark', 'machine learning']"
13,HEALTHCARE,9.12,[],"['data science', 'spark', 'machine learning']"
14,ENGINEERING,9.05,[],"['data science', 'spark', 'machine learning']"
15,BANKING,8.93,['machine learning'],"['data science', 'spark']"
16,CONSULTANT,8.91,"['data science', 'machine learning']",['spark']
17,HR,8.78,[],"['data science', 'spark', 'machine learning']"
18,SALES,8.75,[],"['data science', 'spark', 'machine learning']"
19,CONSULTANT,8.73,[],"['data science', 'spark', 'machine learning']"
20,ENGINEERING,8.71,[],"['data science', 'spark', 'machine learning']"
21,HEALTHCARE,8.55,[],"['data science', 'spark', 'machine learning']"
22,FITNESS,8.54,[],"['data science', 'spark', 'machine learning']"
23,HR,8.52,[],"['data science', 'spark', 'machine learning']"
24,ADVOCATE,8.44,[],"['data science', 'spark', 'machine learning']"
25,HEALTHCARE,8.32,[],"['data science', 'spark', 'machine learning']"
26,CONSULTANT,8.2,['machine learning'],"['data science', 'spark']"
27,ARTS,8.18,[],"['data science', 'spark', 'machine learning']"
28,ENGINEERING,8.18,[],"['data science', 'spark', 'machine learning']"
29,ARTS,8.13,[],"['data science', 'spark', 'machine learning']"
30,INFORMATION-TECHNOLOGY,8.1,[],"['data science', 'spark', 'machine learning']"
31,AGRICULTURE,8.09,[],"['data science', 'spark', 'machine learning']"
32,TEACHER,8.07,[],"['data science', 'spark', 'machine learning']"
33,BANKING,7.99,[],"['data science', 'spark', 'machine learning']"
34,TEACHER,7.96,[],"['data science', 'spark', 'machine learning']"
35,HR,7.91,[],"['data science', 'spark', 'machine learning']"
36,TEACHER,7.85,[],"['data science', 'spark', 'machine learning']"
37,SALES,7.83,[],"['data science', 'spark', 'machine learning']"
38,HR,7.83,[],"['data science', 'spark', 'machine learning']"
39,APPAREL,7.77,[],"['data science', 'spark', 'machine learning']"
40,SALES,7.75,[],"['data science', 'spark', 'machine learning']"
41,ENGINEERING,7.73,[],"['data science', 'spark', 'machine learning']"
42,DIGITAL-MEDIA,7.67,['machine learning'],"['data science', 'spark']"
43,INFORMATION-TECHNOLOGY,7.67,[],"['data science', 'spark', 'machine learning']"
44,TEACHER,7.62,[],"['data science', 'spark', 'machine learning']"
45,BANKING,7.56,[],"['data science', 'spark', 'machine learning']"
46,DESIGNER,7.49,[],"['data science', 'spark', 'machine learning']"
47,DESIGNER,7.36,[],"['data science', 'spark', 'machine learning']"
48,DIGITAL-MEDIA,7.36,[],"['data science', 'spark', 'machine learning']"
49,ENGINEERING,7.35,['machine learning'],"['data science', 'spark']"
50,INFORMATION-TECHNOLOGY,7.32,[],"['data science', 'spark', 'machine learning']"
51,CONSULTANT,7.31,[],"['data science', 'spark', 'machine learning']"
52,TEACHER,7.31,[],"['data science', 'spark', 'machine learning']"
53,ENGINEERING,7.28,[],"['data science', 'spark', 'machine learning']"
54,PUBLIC-RELATIONS,7.27,[],"['data science', 'spark', 'machine learning']"
55,HEALTHCARE,7.25,[],"['data science', 'spark', 'machine learning']"
56,ENGINEERING,7.23,[],"['data science', 'spark', 'machine learning']"
57,HR,7.22,[],"['data science', 'spark', 'machine learning']"
58,HEALTHCARE,7.15,[],"['data science', 'spark', 'machine learning']"
59,DIGITAL-MEDIA,7.12,[],"['data science', 'spark', 'machine learning']"
60,ADVOCATE,7.08,[],"['data science', 'spark', 'machine learning']"
61,INFORMATION-TECHNOLOGY,6.99,[],"['data science', 'spark', 'machine learning']"
62,PUBLIC-RELATIONS,6.91,[],"['data science', 'spark', 'machine learning']"
63,BUSINESS-DEVELOPMENT,6.91,[],"['data science', 'spark', 'machine learning']"
64,INFORMATION-TECHNOLOGY,6.9,[],"['data science', 'spark', 'machine learning']"
65,DIGITAL-MEDIA,6.89,[],"['data science', 'spark', 'machine learning']"
66,ENGINEERING,6.88,[],"['data science', 'spark', 'machine learning']"
67,AUTOMOBILE,6.85,[],"['data science', 'spark', 'machine learning']"
68,INFORMATION-TECHNOLOGY,6.84,[],"['data science', 'spark', 'machine learning']"
69,BPO,6.81,[],"['data science', 'spark', 'machine learning']"
70,APPAREL,6.81,[],"['data science', 'spark', 'machine learning']"
71,DESIGNER,6.79,[],"['data science', 'spark', 'machine learning']"
72,ADVOCATE,6.79,[],"['data science', 'spark', 'machine learning']"
73,HEALTHCARE,6.78,[],"['data science', 'spark', 'machine learning']"
74,ADVOCATE,6.78,[],"['data science', 'spark', 'machine learning']"
75,HR,6.75,[],"['data science', 'spark', 'machine learning']"
76,APPAREL,6.73,[],"['data science', 'spark', 'machine learning']"
77,ENGINEERING,6.72,['machine learning'],"['data science', 'spark']"
78,ENGINEERING,6.7,[],"['data science', 'spark', 'machine learning']"
79,CHEF,6.7,[],"['data science', 'spark', 'machine learning']"
80,DESIGNER,6.69,[],"['data science', 'spark', 'machine learning']"
81,HEALTHCARE,6.69,[],"['data science', 'spark', 'machine learning']"
